linkID,venue1,venue2
349,collection0095,collection1207
350,collection0082,collection0773
351,collection0052,collection0298
352,collection0407,collection0856
353,collection0089,collection0214
354,collection0562,collection1184
355,collection0466,collection1804
356,collection1796,collection2304
357,collection0756,collection1061
358,collection0076,collection0187
359,collection0142,collection0588
360,collection0400,collection0701
361,collection0660,collection1382
362,collection0100,collection0749
363,collection0162,collection0174
364,collection0072,collection0242
365,collection1146,collection1160
366,collection0174,collection0525
367,collection0084,collection1585
368,collection0548,collection1585
369,collection0209,collection0278
370,collection0048,collection0404
371,collection0521,collection1804
372,collection1002,collection1678
373,collection0596,collection0746
374,collection0142,collection0219
375,collection1490,collection2012
376,collection1006,collection2012
377,collection0007,collection0487
378,collection1158,collection1216
379,collection1089,collection1146
380,collection0303,collection0475
381,collection0270,collection0502
382,collection0181,collection0303
383,collection0246,collection0462
384,collection0861,collection1033
385,collection0020,collection0166
386,collection0021,collection1067
387,collection0192,collection0831
388,collection0858,collection1678
389,collection0011,collection0278
390,collection1061,collection1184
391,collection0351,collection0725
392,collection0044,collection0095
393,collection0017,collection0486
394,collection0068,collection2135
395,collection0014,collection0342
396,collection0104,collection0155
397,collection1092,collection1383
398,collection0746,collection0749
399,collection0100,collection0127
400,collection1202,collection1203
401,collection0466,collection1489
402,collection0084,collection0206
403,collection0017,collection0854
404,collection0002,collection0218
405,collection0244,collection1489
406,collection0155,collection2135
407,collection0055,collection0727
408,collection0375,collection0608
409,collection0660,collection0970
410,collection0701,collection2012
411,collection0170,collection1072
412,collection1031,collection1595
413,collection0002,collection0029
414,collection1110,collection1198
415,collection0133,collection0527
416,collection0100,collection1025
417,collection0585,collection0653
418,collection0272,collection0570
419,collection1273,collection1483
420,collection0113,collection0746
421,collection0166,collection1158
422,collection1192,collection1780
423,collection0061,collection0895
424,collection0148,collection0674
425,collection0455,collection1640
426,collection0185,collection0280
427,collection0010,collection0045
428,collection0187,collection0188
429,collection0316,collection1130
430,collection0068,collection0995
431,collection0206,collection0454
432,collection0097,collection0133
433,collection0209,collection2012
434,collection0316,collection0547
435,collection0072,collection1378
436,collection0008,collection1500
437,collection0238,collection0280
438,collection1216,collection1438
439,collection0931,collection2012
440,collection0082,collection1194
441,collection0256,collection1092
442,collection0877,collection0922
443,collection0039,collection0246
444,collection0280,collection0500
445,collection1989,collection2135
446,collection0030,collection0242
447,collection0316,collection0325
448,collection0280,collection0514
449,collection0006,collection1631
450,collection0585,collection1216
451,collection0188,collection0395
452,collection0073,collection1640
453,collection0014,collection1804
454,collection0063,collection0746
455,collection0242,collection0284
456,collection0892,collection1026
457,collection1110,collection2012
458,collection0303,collection0311
459,collection0109,collection1132
460,collection0043,collection1250
461,collection0713,collection1641
462,collection0415,collection1130
463,collection0068,collection1790
464,collection0509,collection1441
465,collection0010,collection0341
466,collection1043,collection1640
467,collection0483,collection0502
468,collection0746,collection1453
469,collection0019,collection0500
470,collection0054,collection0455
471,collection1382,collection1487
472,collection0097,collection1790
473,collection0415,collection0877
474,collection0192,collection0727
475,collection0077,collection0167
476,collection0010,collection0726
477,collection0192,collection0995
478,collection1061,collection1121
479,collection0427,collection2018
480,collection0008,collection0776
481,collection0608,collection0660
482,collection0025,collection0192
483,collection0076,collection0525
484,collection0278,collection1641
485,collection0061,collection0670
486,collection0375,collection0717
487,collection0032,collection1489
488,collection0485,collection0651
489,collection0130,collection0209
490,collection0542,collection1036
491,collection0029,collection0077
492,collection0284,collection0585
493,collection0936,collection1208
494,collection0017,collection1630
495,collection0055,collection0133
496,collection0129,collection0155
497,collection0459,collection0749
498,collection0068,collection0950
499,collection0011,collection0970
500,collection0076,collection0166
501,collection0729,collection0748
502,collection0256,collection0610
503,collection0148,collection0363
504,collection0130,collection0198
505,collection0566,collection0995
506,collection0089,collection1061
507,collection0100,collection0450
508,collection0198,collection0280
509,collection0011,collection1184
510,collection0063,collection1092
511,collection0588,collection1489
512,collection0148,collection1671
513,collection0148,collection0151
514,collection0003,collection0017
515,collection1563,collection2304
516,collection0002,collection0062
517,collection0017,collection1454
518,collection0061,collection0090
519,collection1489,collection1678
520,collection0674,collection1989
521,collection0029,collection0360
522,collection0002,collection0024
523,collection0234,collection0282
524,collection0013,collection1378
525,collection0581,collection1399
526,collection0030,collection0097
527,collection0969,collection1033
528,collection0126,collection1374
529,collection0015,collection1995
530,collection0141,collection0311
531,collection1378,collection1623
532,collection0100,collection1768
533,collection0133,collection0651
534,collection0046,collection0537
535,collection0037,collection1132
536,collection0660,collection2023
537,collection1158,collection1167
538,collection0365,collection1378
539,collection0002,collection0395
540,collection0118,collection0485
541,collection0113,collection0442
542,collection0185,collection0734
543,collection0004,collection1630
544,collection0162,collection2012
545,collection0242,collection0370
546,collection0034,collection0109
547,collection0537,collection1216
548,collection0174,collection0773
549,collection0107,collection0344
550,collection0590,collection1184
551,collection0254,collection1626
552,collection0746,collection0976
553,collection0002,collection0346
554,collection0670,collection1207
555,collection0094,collection0485
556,collection0566,collection1216
557,collection0002,collection0417
558,collection0214,collection0858
559,collection0402,collection1487
560,collection0043,collection1158
561,collection0155,collection0935
562,collection0400,collection0713
563,collection0268,collection0739
564,collection1362,collection2304
565,collection0025,collection0055
566,collection0046,collection0701
567,collection0089,collection0760
568,collection0166,collection0542
569,collection1273,collection2012
570,collection0015,collection0088
571,collection0030,collection0234
572,collection0270,collection2023
573,collection0002,collection0798
574,collection0093,collection0364
575,collection0438,collection0970
576,collection0514,collection0760
577,collection0183,collection1768
578,collection0064,collection0399
579,collection0100,collection1500
580,collection0089,collection0502
581,collection1036,collection1382
582,collection0104,collection0351
583,collection0331,collection0876
584,collection1605,collection1780
585,collection0151,collection0756
586,collection0363,collection0590
587,collection0354,collection0581
588,collection0190,collection0645
589,collection1043,collection1790
590,collection0242,collection0749
591,collection0017,collection1273
592,collection0272,collection0896
593,collection0097,collection1376
594,collection0454,collection1198
595,collection0190,collection0331
596,collection0088,collection1146
597,collection0055,collection0861
598,collection0037,collection1487
599,collection0219,collection0669
600,collection0427,collection1130
601,collection0479,collection0877
602,collection0063,collection0280
603,collection0284,collection0485
604,collection0214,collection1640
605,collection0065,collection1768
606,collection0087,collection1378
607,collection0056,collection0174
608,collection0005,collection1280
609,collection0170,collection0525
610,collection0005,collection0301
611,collection0089,collection0608
612,collection0300,collection1146
613,collection0044,collection1846
614,collection1379,collection2012
615,collection0660,collection0818
616,collection0061,collection0525
617,collection1121,collection2012
618,collection1043,collection1089
619,collection0466,collection0527
620,collection0647,collection0660
621,collection0502,collection1805
622,collection0068,collection1807
623,collection0068,collection0190
624,collection0002,collection0874
625,collection0017,collection0776
626,collection0002,collection0557
627,collection0014,collection0929
628,collection0151,collection1273
629,collection0192,collection0315
630,collection0109,collection0424
631,collection0245,collection1489
632,collection0021,collection0185
633,collection0039,collection0779
634,collection0360,collection0734
635,collection0295,collection0521
636,collection0420,collection0756
637,collection0325,collection0755
638,collection0118,collection0525
639,collection0037,collection1078
640,collection0028,collection1130
641,collection0428,collection0696
642,collection0032,collection0581
643,collection0214,collection0272
644,collection0312,collection0424
645,collection0547,collection1348
646,collection0032,collection0367
647,collection0072,collection2304
648,collection0013,collection0701
649,collection0037,collection0351
650,collection0371,collection1146
651,collection0013,collection0158
652,collection0514,collection0734
653,collection0024,collection1537
654,collection0022,collection2018
655,collection0450,collection1631
656,collection0017,collection0216
657,collection0645,collection1194
658,collection0029,collection0130
659,collection0037,collection1002
660,collection0058,collection0927
661,collection0002,collection0664
662,collection0346,collection1031
663,collection0039,collection0935
664,collection0032,collection0344
665,collection0481,collection0896
666,collection0151,collection0445
667,collection0174,collection0876
668,collection0118,collection2012
669,collection0071,collection0192
670,collection0111,collection1630
671,collection0013,collection1374
672,collection0130,collection0256
673,collection0255,collection2012
674,collection0124,collection0566
675,collection1153,collection1378
676,collection0130,collection0245
677,collection1216,collection2023
678,collection0047,collection1362
679,collection0162,collection0395
680,collection1376,collection2304
681,collection0407,collection1640
682,collection0370,collection2018
683,collection0078,collection1378
684,collection1207,collection2012
685,collection0048,collection1995
686,collection0116,collection0244
687,collection0032,collection0162
688,collection0282,collection0556
689,collection0176,collection0485
690,collection0216,collection1500
691,collection0525,collection0729
692,collection0129,collection0701
693,collection0095,collection0748
694,collection0344,collection0749
695,collection0407,collection1989
696,collection0450,collection0633
697,collection0039,collection0325
698,collection0065,collection0174
699,collection0037,collection0779
700,collection0502,collection1033
701,collection0258,collection1489
702,collection0280,collection0479
703,collection0073,collection0272
704,collection0054,collection0111
705,collection0363,collection0556
706,collection0325,collection0502
707,collection0214,collection0548
708,collection0105,collection0746
709,collection0198,collection0466
710,collection0045,collection0058
711,collection1167,collection1330
712,collection0025,collection0032
713,collection1995,collection2012
714,collection1768,collection2135
715,collection0779,collection2012
716,collection0081,collection2304
717,collection0010,collection0371
718,collection0002,collection0875
719,collection0970,collection1626
720,collection0043,collection0045
721,collection0002,collection0231
722,collection0779,collection0856
723,collection0514,collection1846
724,collection0187,collection0859
725,collection1026,collection2304
726,collection0105,collection0969
727,collection0038,collection0298
728,collection0159,collection1092
729,collection0007,collection0127
730,collection0428,collection1036
731,collection0420,collection0896
732,collection0332,collection1167
733,collection0395,collection0746
734,collection0071,collection0278
735,collection0077,collection0371
736,collection0062,collection1626
737,collection0779,collection1280
738,collection0001,collection1489
739,collection0415,collection1640
740,collection0001,collection1618
741,collection1184,collection1585
742,collection0006,collection0301
743,collection0019,collection1207
744,collection0481,collection1378
745,collection0204,collection0487
746,collection0251,collection1167
747,collection0058,collection0734
748,collection0052,collection0127
749,collection0204,collection0475
750,collection0653,collection0749
751,collection0995,collection1198
752,collection0004,collection0090
753,collection0001,collection0222
754,collection0025,collection0037
755,collection0010,collection0608
756,collection0017,collection1216
757,collection0402,collection0791
758,collection0190,collection1060
759,collection0019,collection0231
760,collection0548,collection1441
761,collection0061,collection1061
762,collection0043,collection0479
763,collection0013,collection0108
764,collection0071,collection0187
765,collection0488,collection1995
766,collection0014,collection0861
767,collection0634,collection0877
768,collection0040,collection0415
769,collection0298,collection2212
770,collection0007,collection0166
771,collection0174,collection1097
772,collection0047,collection0610
773,collection0085,collection0432
774,collection0126,collection0514
775,collection0014,collection1203
776,collection0088,collection0500
777,collection0525,collection0895
778,collection0268,collection1060
779,collection0270,collection0634
780,collection0251,collection0364
781,collection0514,collection0984
782,collection0061,collection0122
783,collection0002,collection0259
784,collection0151,collection0531
785,collection0041,collection0058
786,collection0287,collection1671
787,collection0581,collection0696
788,collection0895,collection1092
789,collection0791,collection1207
790,collection0007,collection1697
791,collection0014,collection1130
792,collection0251,collection1061
793,collection0424,collection0830
794,collection0479,collection0725
795,collection0939,collection1153
796,collection0272,collection0713
797,collection1216,collection1807
798,collection0190,collection0370
799,collection0450,collection0935
800,collection1092,collection1207
801,collection0001,collection0159
802,collection0566,collection1961
803,collection0254,collection0569
804,collection0006,collection0354
805,collection0856,collection1500
806,collection0032,collection0130
807,collection0021,collection0815
808,collection0105,collection1640
809,collection0363,collection0765
810,collection0054,collection0272
811,collection0039,collection1348
812,collection0043,collection1618
813,collection0276,collection1060
814,collection0797,collection1378
815,collection0256,collection1376
816,collection0420,collection1483
817,collection0432,collection0855
818,collection0400,collection0919
819,collection0097,collection0407
820,collection0043,collection0089
821,collection0088,collection0856
822,collection0111,collection0739
823,collection0017,collection0038
824,collection0011,collection0041
825,collection0438,collection0734
826,collection0475,collection0756
827,collection0022,collection1207
828,collection0130,collection0749
829,collection0547,collection2304
830,collection0487,collection0746
831,collection0014,collection0779
832,collection0325,collection0945
833,collection0514,collection1671
834,collection0024,collection0041
835,collection0041,collection0287
836,collection0464,collection1192
837,collection0370,collection0877
838,collection0147,collection1768
839,collection0095,collection1678
840,collection0192,collection1697
841,collection0502,collection0674
842,collection0402,collection1489
843,collection0047,collection0874
844,collection0284,collection1768
845,collection0058,collection1373
846,collection0005,collection0402
847,collection0725,collection1641
848,collection0014,collection0090
849,collection0127,collection0130
850,collection0058,collection0856
851,collection0159,collection0485
852,collection0514,collection0855
853,collection0048,collection0970
854,collection0984,collection1092
855,collection0021,collection0043
856,collection0415,collection1804
857,collection0484,collection1537
858,collection0088,collection0877
859,collection0634,collection1092
860,collection0238,collection1026
861,collection0017,collection0483
862,collection0097,collection1382
863,collection0054,collection0242
864,collection0085,collection1641
865,collection0126,collection0855
866,collection0001,collection1013
867,collection0028,collection0485
868,collection0019,collection0896
869,collection0346,collection0610
870,collection0500,collection0859
871,collection1132,collection2047
872,collection1167,collection1746
873,collection0116,collection1640
874,collection0021,collection0046
875,collection0006,collection1089
876,collection0276,collection0764
877,collection0585,collection1198
878,collection0185,collection0746
879,collection0548,collection1061
880,collection0427,collection0713
881,collection0248,collection1378
882,collection1207,collection1805
883,collection0089,collection1626
884,collection0051,collection1216
885,collection0010,collection0155
886,collection0375,collection1382
887,collection0242,collection0779
888,collection0044,collection0183
889,collection0400,collection0664
890,collection1160,collection2304
891,collection0151,collection1378
892,collection0017,collection0258
893,collection0188,collection1146
894,collection0660,collection1121
895,collection0037,collection1804
896,collection0258,collection0514
897,collection0109,collection1167
898,collection0190,collection1378
899,collection0581,collection1838
900,collection0531,collection0905
901,collection0079,collection1132
902,collection0029,collection0371
903,collection0256,collection0885
904,collection0073,collection0090
905,collection0420,collection0877
906,collection0363,collection1002
907,collection0104,collection0427
908,collection0556,collection1382
909,collection0010,collection0183
910,collection0316,collection1631
911,collection0151,collection0258
912,collection0669,collection0739
913,collection0077,collection0246
914,collection0011,collection0677
915,collection0254,collection1061
916,collection0414,collection0514
917,collection0691,collection1348
918,collection0043,collection0360
919,collection1130,collection1500
920,collection0037,collection0124
921,collection0043,collection0876
922,collection0710,collection0739
923,collection0014,collection1640
924,collection0729,collection1033
925,collection0818,collection0858
926,collection0311,collection0438
927,collection0047,collection0331
928,collection1383,collection1640
929,collection0068,collection1342
930,collection0504,collection2023
931,collection0003,collection0488
932,collection0166,collection0557
933,collection0764,collection1198
934,collection0020,collection0159
935,collection0062,collection0220
936,collection0581,collection0980
937,collection0770,collection1780
938,collection0001,collection0043
939,collection0011,collection1805
940,collection0037,collection1129
941,collection0015,collection0351
942,collection0043,collection1208
943,collection0198,collection0346
944,collection0282,collection1618
945,collection0004,collection0414
