retweeted_url,RP(H),retweets_count
https://huffingtonpost.ca/entry/obama-trudeau-endorsement_ca_5da73ee9e4b02253a2fc47bf,-0.45,90
https://ici.radio-canada.ca/nouvelle/1312331/afrique-declaration-mondiale-urgence-climatique-onu-sommet,-0.45,6
https://cbc.ca/news/canada/ottawa/ottawa-lawn-sign-election-violence-1.5294046?cmp=rss,-0.44,2
https://cbc.ca/news/politics/face-to-face-the-national-leaders-1.5302459?cmp=rss,-0.44,2
https://rdnewsnow.com/2019/10/22/trudeau-thanks-morning-commuters-in-his-montreal-riding-after-election-victory/,-0.44,8
https://press-presse.liberal.ca/fact-check/fact-check-scheer-would-take-us-back-to-harper-era-on-indigenous-rights/,-0.44,183
https://press-presse.liberal.ca/fact-check/conservative-platform-includes-53-billion-in-cuts-including-14-billion-in-hidden-cuts/,-0.44,576
https://election.ctvnews.ca/liberals-promise-billions-in-new-spending-in-2019-election-platform-1.4615849,-0.44,2
https://cbc.ca/news/politics/liberals-climate-change-action-plan-2050-1.5295027,-0.44,32
https://huffingtonpost.ca/entry/conservative-platform_ca_5da0de60e4b087efdbae3100?ncid=tweetlnkcahpmg00000002,-0.44,2
https://huffingtonpost.ca/entry/jagmeet-singh-polarization_ca_5da5df28e4b02901e276e022?ncid=tweetlnkcahpmg00000002,-0.44,2
https://election.ctvnews.ca/singh-lays-out-conditions-for-ndp-support-in-parliament-after-oct-21-vote-1.4632880,-0.44,3
https://cbc.ca/news/politics/supreme-court-scc-journalist-source-1.5299666?cmp=rss,-0.44,5
https://globalnews.ca/news/5857565/canada-election-promises-trudeau-scheer-singh-may-blanchet/?utm_medium=twitter&utm_source=%40globalnews,-0.44,4
https://cbc.ca/news/politics/scheer-trudeau-tax-cut-millionaires-income-sprinkling-1.5316499?cmp=rss,-0.44,6
https://cbc.ca/news/politics/trudeau-liberal-minority-government-2019-1.5331926,-0.44,23
https://narcity.com/news/ca/whyscheerlost-is-a-trending-topic-on-twitter-and-the-tweets-are-ruthless,-0.43,7
https://election.ctvnews.ca/trudeau-blasts-tories-for-platform-delay-before-taking-fight-to-singh-s-riding-1.4634483,-0.43,7
https://nursesunions.ca/liberals-get-universal-pharmacare-right-say-nurses/,-0.43,64
https://torontosun.com/opinion/columnists/jim-warren-justin-trudeau-deserves-another-shot-heres-why?utm_medium=social&utm_source=twitter#echobox=1570978827,-0.43,4
https://cbc.ca/news/canada/british-columbia/syrian-refugees-citizens-election-1.5319183,-0.42,39
https://cbc.ca/news/business/trudeau-sheer-election-carbon-tax-1.5330829,-0.42,55
https://globalnews.ca/news/5968537/scheer-insurance-broker-claim/,-0.42,16
https://cp24.com/liberal-party-wins-minority-in-federal-election-1.4647440,-0.42,19
https://cbc.ca/news/politics/advance-poll-turnout-surges-1.5321915?cmp=rss,-0.41,6
https://lactualite.com/politique/andrew-scheer-est-il-un-stephen-harper-2-0/,-0.41,29
https://calgaryherald.com/opinion/columnists/nenshi-theres-something-more-threatening-than-trudeaus-blackface,-0.41,11
https://fcm.ca/en/news-media/news-release/fcm-responds-ndp-2019-election-platform-costing,-0.4,3
https://journaldequebec.com/2019/10/24/32-bloquistes-a-ottawa--rien-pour-rassurer-sol-zanetti-et-les-solidaires,-0.4,3
https://cbc.ca/news/canada/toronto/doug-ford-kenora-announcement-1.5322436?cmp=rss,-0.4,2
https://cbc.ca/news/politics/finding-meaning-in-canada-election-1.5327310?cmp=rss,-0.4,5
https://cbc.ca/news/canada/calgary/west-of-centre-federal-liberal-minority-alberta-1.5298553?cmp=rss,-0.4,2
https://cbc.ca/news/canada/new-brunswick/abortion-new-brunswick-trudeau-1.5321045?cmp=rss,-0.4,3
https://cbc.ca/news/politics/final-days-campaign-message-2019-1.5327634?cmp=rss,-0.4,2
