collection_name,retweeted_url,retweets_count,RP(H)
collection_0042,https://poder360.com.br/eleicoes/bolsonaro-assiste-programa-de-comedia-durante-debate-na-globo/,428,0.339929836726829
collection_0043,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/27/homem-morto-tiros-carreata-haddad-ceara.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,422,-0.50210784167419
collection_0044,https://congressoemfoco.uol.com.br/eleicoes/bolsonaro-apoiou-grupo-de-exterminio-que-cobrava-r-50-para-matar-jovens-da-periferia/,421,-0.781732397078519
collection_0045,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/13/haddad-quer-investigacao-sobre-dinheiro-de-usina-de-fake-news-na-campanha.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,416,-0.52214267890852
collection_0046,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/16/para-eleitores-bolsonaro-e-quem-mais-defende-os-ricos-e-haddad-os-pobres.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,409,-0.436644080214585
collection_0047,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/bbc/2018/10/20/janaina-paschoal-bolsonaro-haddad-eleicoes-2018-pt-psl.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,408,0.428817338442702
collection_0048,https://lula.com.br/empresarios-e-apoiadores-de-bolsonaro-ameacam-jornalistas-do-estadao-e-da-folha/,405,-0.796624711146051
collection_0049,https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-tem-post-no-twitter-com-elogio-maduro-a-venezuela-23170575?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo,402,-0.362858506208929
collection_0050,https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-criou-kit-gay-para-criancas-de-seis-anos-23159888?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo,392,-0.364498467069067
collection_0051,https://g1.globo.com/politica/eleicoes/2018/noticia/2018/10/24/bolsonaro-diz-ser-contra-cotas-e-que-politica-de-combate-ao-preconceito-e-coitadismo.ghtml,382,-0.379343175662463
collection_0052,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/26/bolsonaro-haddad-video-fake-news.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,378,-0.482254770401788
collection_0053,https://lula.com.br/vitoria-historica-tse-manda-bolsonaro-remover-55-links-em-que-o-candidato-propagava-fake-news-sobre-fraude-eleitoral/,364,-0.809995995353633
